跨主机情况下，一般使用什么通信方式,UDP***TCP***socket file,B,mysql -h host -P port -u user -p psword
什么情况下可以使用 socket file 方式通信,Unix 主机，服务器进程和客户端进程都在同一台主机***同一台主机,A,
以下属于查询请求流程的是,连接管理***解析与优化***域名解析***存储引擎,ABD,
解析与优化中的内容是,查询缓存***语法解析***查询优化***处理连接,ABC,
客户端退出连接时，是否会一定会将线程销毁,是***否,B,
下面语句无法缓存的是,SELECT NOW()***SELECT * FROM user;,A,某些系统函数如 now，无法进行系统缓存
查询缓存在什么情况下会过期,定时过期***表数据有修改过期,B,INSERT UPDATE DELETE TRUNCATE ALTER DROP 将导致表数据缓存过期
现在是否推荐采用查询缓存,是***否,B,缓存有开销，8.0 后移除查询缓存
存储引擎负责的内容,磁盘中记录行信息***从表中读取数据***语法解析***将数据写入具体的物理存储引擎,ABD,
MySQL server 的功能,连接管理***查询缓存***语法解析***查询优化,ABCD,各种不同的存储引擎向上面的 MySQL server 层提供统一的调用接口
常用的存储引擎，其描述正确的是,CSV-存储数据时用逗号分隔***InnoDB-具备外键支持功能的事务存储引擎***MEMORY-内存中的表***MyISAM-非事务存储引擎,ABCD,
支持事务与回滚的数据库是,MEMORY***InnoDB***MyISAM***ARCHIVE,B,
创建表时，设置存储引擎的语句是,CREATE TABLE table_name () ENGINE=engine_name;,A,
启动客户端时，-h 后面添加 ip 地址，通信方式是什么,TCP/IP***socket file***UDP,A,主机 -h 后面如果是 localhost 则是 socket file 通信，如果是 127.0.0.1 则是 TCP/IP 通信
如果我们希望只能本机访问，可以禁止使用 TCP/IP 通信,mysqld --skip-networking,A,mysql 跳过网络请求方式
启动选项方式正确的是,-启动选项***--启动选项=值***--启动选项***--值,BC,--启动选项[=值]
可读取的配置文件路径正确的是,/etc/my.cnf***/etc/mysql/my.cnf***~/.my.cnf***~/.mylogin.cnf***$MYSQL_HOME/my.cnf,ABCDE,MYSQL_HOME 是一个环境变量，该路径下的 my.cnf 配置，只能放启动服务器相关的选项
配置文件中的启动选项会划分成不同的组，以下组正确的是,[server] (具体的启动选项)***[mysqld] (具体的启动选项)***[client](具体的启动选项)***[mysql](具体的启动选项),ABCD,
配置文件中的选项，规则正确的是,option1***--option1***option2 = 1***option2=2,ACD,不需要选项值就直接用 option，选项值就是 option2=value，等号两边可以有空格
配置文件优先级最高的是,/etc/my.cnf***~/.my.cnf***/etc/mysql/my.cnf,B,
存储字符集的含义,建立字符与二进制数据的映射关系,A,
ASCII 字符集收录的字符数，使用几个字节编码,64 个字符，1 个字节编码***128 个字符，1 个字节编码***256 个字符，1 个字节编码***512 个字符，2 个字节编码,B,
一个字节有几位,4***8***12***16,B,
latin1 字符集收录的字符数，使用几个字符编码,64 个字符，1 个字节编码***128 个字符，1 个字节编码***256 个字符，1 个字节编码***512 个字符，2 个字节编码,C,
GB2312 字符集收录的字符数，使用几个字符编码,256 个字符，1 个字节编码***512 个字符，2 个字节编码***7745 个字符，1/2 个字节编码,C,兼容 ASCII 编码，变长编码方式，如果在 ASCII 中，则是 1 个字符，其它 2 个字符
GBK 字符集,在 GB2312 字符集进行扩充，兼容 GB2312,A,
utf8 字符集，以下说法正确的是,收录所有能想到的字符，还在扩充中***兼容 ASCII 字符集***采用变长编码方式***1-4 个字节,ABCD,
utf8mb3 字符集，以下说法正确的是,只能使用 1-3 个字节表示字符***无法存储 emoji 表情***阉割版 utf8***为了节约存储空间***mysql 默认的 utf8 字符集,ABCDE,
utf8mb4 字符集，以下说法正确的是,原版 utf8 字符集***使用 1-4 个字节,AB,
collation 是什么意思,比较规则***集合,A,
collation 的说法正确的是 utf8_general_ci,比较规则名称以其关联的字符集的名称开头***字符集名称后面是作用于哪种语言，general 是通用的规则***后缀表示是否区分重音、大小写,ABC,
比较规则后缀规则正确的是,ai accent insensitive 不区分重音***as accent sensitive 区分重音***ci case insensitive 不区分大小写***cs case sensitive 区分大小写***bin binary 二进制方式比较,ABCDE,
