展示在页面头部的文字是哪个标签,title***html***body***head***script,A,
font 标签,html4 不推荐使用***html5 废弃使用***可添加 size 等属性,ABC,
p 是什么标签,换段的标签***行级标签***换段后有一个段落间距***br 是换行，没有段落间距,ABCD,
如果不闭合标签，会怎么样,当遇到下一个开始标签时，认为上一个标签结束了,A,
h1 h2 h3 的作用,改变字体***给 seo 优化，搜索引擎中发现有过多 h 标签时，会做惩罚，有一个就可以了***h1 离 body 越近越好,ABC,
img 标签,src 属性是路径***alt 是当 src 的文件不存在时，显示给用户的提示信息***width height 设置宽高,ABC,
a 标签,"href 指向另一个页面***href 可以是本地页面，网络页面、图片文件***target 属性：
_blank 在新标签页打开链接；_parent 在父窗口打开链接；_self 在当前窗口打开链接；_top 目标清除所有被包含的 frame 框架",ABC,
"锚点 <a name=""锚点名"">","同一个文档中，指向锚点的位置***锚点必须先定义后使用***<a href=""#锚点名""> 跳转到本页面的锚点中***<a href=""xxx.html#锚点名""> 跳转到 xxx.html 页面的锚点中",ABCD,
列表,无序列表 ul***有序列表 ol,AB,
表格,tr 是行***td 是每一个单元格***border 表格边框,ABC,
单元格合并,colspan 合并列，当前列向下合并***rowspan 合并行，当前单元格向下合并***在一个 td 中写 rowspan 和 colspan，能够实现行列多重合并,ABC,
表格的 bgcolor 属性,"能够修改表格的背景色***能够使用 red等单词***能够使用 16 进制颜色 #12ff34***bgcolor 不能使用 rgb(255,0,0) 格式***可用通过 style 的 backgroud 进行设置",ABCEF,
表单,用户收集用户信息，进行人机交互操作的***表单是一个隐含的范围***表单元素，控件，可控制的部件***包括文本框、单选按钮、列表框、图片框、复选框,ABCE,
控件的属性,name 控件名称，可重复，name 会作为参数名传递，给后端使用。Id 指定标签的唯一识别，id 一般是给前端使用的***value 输入(收集、设置)控件的值***checked 复选框(单选)组默认被选中的项目***selected 列表框组默认被选中的项目***src 图片框的图片来源***onclick 鼠标点击事件。 Disabled 禁用该控件***multiple 允许多选(适合普通列表框),ABCEFGH,
表单的常见属性,action 记录后台的位置，将表单中的全部内容传递到 action 中对应的路径下进行处理***method 有 get post,,
textarea 多行文本框,row 是行数***cols 是列数,,
隐藏域,"input type=""hidden""***数据需要传递给后端，但是不想显示在页面上",,
普通列表框,select size=3 multiple=true***给 select 添加 size 后，就会变成普通列表框***添加 multiple，能够实现多选，按住 ctrl 点击,,
对齐方式,"align=""center"" 水平对齐方式，left right justify 对行进行伸展，每行有相等的长度***valign 垂直排列方式，top middle bottom baseline 基线对齐",,
样式的引入方式,"内部样式表，在 head 中 <style type=""text/css"">***外部样式表",,
标签选择器,p {}***div {}***h2{},,
类选择器,.className {},,
背景样式,backgroud-color  颜色值，颜色作为背景颜色***backgroud-image 图片路径 图片作为背景图片***backgroud-repeat repeat/repeat-x/repeat-y/no-repeat 背景图片的重复方向***backgroud-attachment scroll/fixed 背景是否随滚动条滚动***backgroud-position  背景图像的起始位置***块级元素都可以设置背景,ABCDEF,
